config,day,n_trades,pnl_total,ev_per_trade,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,n_fvg_zones,n_fvg_live,n_fvg_inverted,n_fvg_marginal,n_fvg_hunt,trades_per_zone,fill_rate,error
BASELINE,2024-01-05,34,-1.2780730461658247,-0.03759038371075955,34,13,13,13,0,0,0,0,15,0,0,0.0,0.8717948717948718,
BASELINE,2024-01-17,69,-0.3496487080070285,-0.005067372579812007,69,24,24,24,0,0,0,0,27,0,0,0.0,0.9583333333333334,
BASELINE,2024-01-29,38,-0.48424169395199596,-0.012743202472420946,38,15,15,5,0,0,0,0,6,0,0,0.0,0.8444444444444444,
BASELINE,2024-02-13,42,-1.084309030370605,-0.025816881675490597,42,17,17,18,0,0,0,0,18,0,0,0.0,0.8235294117647058,
BASELINE,2024-02-16,34,0.40979122443316857,0.01205268307156378,34,13,13,13,0,0,0,0,17,0,0,0.0,0.8717948717948718,
BASELINE,2024-02-23,50,-0.245608486187545,-0.0049121697237509,50,21,21,21,0,0,0,0,21,0,0,0.0,0.7936507936507936,
BASELINE,2024-03-27,43,-0.7882551262561417,-0.01833151456409632,43,17,17,9,0,0,0,0,13,0,0,0.0,0.8431372549019608,
BASELINE,2024-05-03,47,0.5488886034495408,0.011678480924458315,47,19,19,15,0,0,0,0,18,0,0,0.0,0.8245614035087719,
BASELINE,2024-05-14,74,-2.4430724232117127,-0.033014492205563684,74,26,26,23,0,0,0,0,34,0,0,0.0,0.9487179487179487,
BASELINE,2024-05-17,90,-0.7964265161878453,-0.00884918351319828,90,33,33,36,0,0,0,0,46,0,0,0.0,0.9090909090909091,
BASELINE,2024-06-06,74,-2.000889217429934,-0.02703904347878289,74,27,27,18,0,0,0,0,18,0,0,0.0,0.9135802469135802,
BASELINE,2024-06-11,52,-1.326294733706618,-0.0255056679558965,52,18,18,12,0,0,0,0,12,0,0,0.0,0.9629629629629629,
BASELINE,2024-06-12,68,-1.8914684346709691,-0.027815712274573075,68,26,26,15,0,0,0,0,15,0,0,0.0,0.8717948717948718,
BASELINE,2024-07-08,77,-0.474575131514636,-0.0061633133962939735,77,30,30,23,0,0,0,0,27,0,0,0.0,0.8555555555555555,
BASELINE,2024-07-30,52,-0.8465883396311257,-0.01628054499290626,52,20,20,12,0,0,0,0,15,0,0,0.0,0.8666666666666667,
BASELINE,2024-08-14,82,-3.3456816564657856,-0.04080099581055836,82,29,29,35,0,0,0,0,37,0,0,0.0,0.9425287356321839,
BASELINE,2024-08-21,43,-0.41002050801049933,-0.009535360651406961,43,18,18,16,0,0,0,0,20,0,0,0.0,0.7962962962962963,
BASELINE,2024-10-01,68,-1.8043249767720229,-0.02653419083488269,68,27,27,26,0,0,0,0,29,0,0,0.0,0.8395061728395061,
BASELINE,2024-10-07,35,-0.9119220724937805,-0.02605491635696516,35,14,14,6,0,0,0,0,8,0,0,0.0,0.8333333333333334,
BASELINE,2024-10-25,61,-1.5464444750368784,-0.02535154877109637,61,25,25,21,0,0,0,0,21,0,0,0.0,0.8133333333333334,
BASELINE,2024-11-29,38,-0.4498526311558635,-0.011838227135680618,38,14,14,22,0,0,0,0,24,0,0,0.0,0.9047619047619048,
BASELINE,2024-12-18,70,-2.0153952413713037,-0.028791360591018625,70,27,27,30,0,0,0,0,32,0,0,0.0,0.8641975308641975,
BASELINE,2024-12-26,61,-1.8076749141262858,-0.029634014985676815,61,22,22,29,0,0,0,0,32,0,0,0.0,0.9242424242424242,
BASELINE,2025-01-10,52,-1.4982093364650004,-0.028811718008942316,52,20,19,15,0,0,0,0,15,0,0,0.0,0.8666666666666667,
BASELINE,2025-01-20,49,-2.3411702669329015,-0.04777898503944697,49,18,18,33,0,0,0,0,33,0,0,0.0,0.9074074074074074,
BASELINE,2025-01-21,99,-4.165055473953696,-0.042071267413673695,99,35,35,50,0,0,0,0,51,0,0,0.0,0.9428571428571428,
BASELINE,2025-01-29,49,-3.1579381830996076,-0.06444771802244097,49,18,18,33,0,0,0,0,33,0,0,0.0,0.9074074074074074,
BASELINE,2025-03-07,56,-1.0400999230405432,-0.01857321291143827,56,21,21,23,0,0,0,0,26,0,0,0.0,0.8888888888888888,
BASELINE,2025-03-14,41,-2.0034504414664602,-0.048864644913816105,41,15,15,9,0,0,0,0,9,0,0,0.0,0.9111111111111111,
BASELINE,2025-03-18,96,-2.3790185086741076,-0.02478144279868862,96,34,34,37,0,0,0,0,42,0,0,0.0,0.9411764705882353,
BASELINE,2025-04-11,58,-2.3469550358331617,-0.04046474199712348,58,23,23,24,0,0,0,0,31,0,0,0.0,0.8405797101449275,
BASELINE,2025-04-29,66,-4.0129899384035825,-0.060802877854599736,66,24,24,27,0,0,0,0,27,0,0,0.0,0.9166666666666666,
BASELINE,2025-05-15,111,-4.535485051543371,-0.04086022568957992,111,44,44,39,0,0,0,0,48,0,0,0.0,0.8409090909090909,
BASELINE,2025-06-04,29,-1.0881591241013666,-0.0375227284172885,29,12,12,9,0,0,0,0,9,0,0,0.0,0.8055555555555556,
BASELINE,2025-06-20,65,-1.207000276959813,-0.01856923503015097,65,24,24,16,0,0,0,0,18,0,0,0.0,0.9027777777777778,
BASELINE,2025-07-04,33,-0.08541264854845089,-0.0025882620772257844,33,13,13,11,0,0,0,0,12,0,0,0.0,0.8461538461538461,
BASELINE,2025-07-07,60,0.010300448428855148,0.00017167414048091913,60,26,26,23,0,0,0,0,27,0,0,0.0,0.7692307692307693,
BASELINE,2025-08-06,47,-1.9599564061568346,-0.04170120013099648,47,17,17,17,0,0,0,0,18,0,0,0.0,0.9215686274509803,
BASELINE,2025-08-13,38,-1.1874079673048072,-0.03124757808696861,38,15,15,12,0,0,0,0,12,0,0,0.0,0.8444444444444444,
BASELINE,2025-09-19,73,-2.6735897267117252,-0.03662451680427021,73,27,27,40,0,0,0,0,42,0,0,0.0,0.9012345679012346,
BASELINE,2025-09-25,45,-1.506831741616073,-0.03348514981369051,45,17,17,14,0,0,0,0,16,0,0,0.0,0.8823529411764706,
BASELINE,2025-10-29,76,-0.9702496654960366,-0.012766442967053114,76,32,31,24,0,0,0,0,27,0,0,0.0,0.7916666666666666,
BASELINE,2025-11-24,99,-7.1239247869427045,-0.07195883623174448,99,38,38,36,0,0,0,0,42,0,0,0.0,0.868421052631579,
BASELINE,2025-12-01,44,-3.3055781491442153,-0.07512677611691398,44,17,17,21,0,0,0,0,21,0,0,0.0,0.8627450980392157,
BASELINE,2025-12-22,134,-7.167831654359665,-0.05349128100268406,134,51,51,55,0,0,0,0,60,0,0,0.0,0.8758169934640523,
BASELINE,2026-01-02,102,-3.887526702471405,-0.038113006886974554,102,38,38,34,0,0,0,0,45,0,0,0.0,0.8947368421052632,
