config,n_trades,pnl_total,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,n_fvg_zones,n_fvg_inverted,ev_per_trade,pnl_per_day,trades_per_day,fill_rate
INV_TRADE,4123,-78.30308600884648,4123,1466,1462,1580,290,290,0,1872,-0.018991774438235867,-1.3050514334807746,68.71666666666667,0.9374715779899955
NO_RETEST_REQ,3821,-153.49166232790398,3821,1479,1474,1484,0,0,0,1744,-0.040170547586470554,-2.558194372131733,63.68333333333333,0.8611674554879423
CAND_BODY_ONLY_INV,3816,-161.6839058521341,3816,1462,1458,1384,0,0,0,1546,-0.04236999629248797,-2.6947317642022353,63.6,0.8700410396716827
CAND_IFVG_AGE_60,3599,-153.2026538672219,3599,1388,1384,1287,0,0,0,1438,-0.042568117217899944,-2.5533775644536982,59.983333333333334,0.8643131604226705
CAND_BODY_ONLY_MIT,3840,-166.9503032182839,3840,1461,1457,1421,0,0,0,1582,-0.04347664146309476,-2.7825050536380647,64.0,0.8761122518822724
LIFETIME_UNLIMITED,3862,-167.9711137058054,3862,1466,1462,1427,0,0,0,1588,-0.043493297179131384,-2.7995185617634233,64.36666666666666,0.8781264211005002
BOS_BOOST_ONLY,3833,-167.04543212078383,3833,1466,1462,1421,0,0,0,1582,-0.0435808588888035,-2.784090535346397,63.88333333333333,0.8715325147794452
BASELINE,3833,-167.77308600880104,3833,1466,1462,1421,0,0,0,1582,-0.04377069814996114,-2.796218100146684,63.88333333333333,0.8715325147794452
DROP_INVERTED_OFF,3833,-167.77308600880104,3833,1466,1462,1421,0,0,0,1582,-0.04377069814996114,-2.796218100146684,63.88333333333333,0.8715325147794452
BOS_GATE_60S,3833,-167.77308600880104,3833,1466,1462,1421,0,0,0,1582,-0.04377069814996114,-2.796218100146684,63.88333333333333,0.8715325147794452
BOS_GATE_PASS_NEUTRAL,3833,-167.77308600880104,3833,1466,1462,1421,0,0,0,1582,-0.04377069814996114,-2.796218100146684,63.88333333333333,0.8715325147794452
BOS_GATE_STRICT,3833,-167.77308600880104,3833,1466,1462,1421,0,0,0,1582,-0.04377069814996114,-2.796218100146684,63.88333333333333,0.8715325147794452
LIFETIME_30MIN,3792,-166.72104713743505,3792,1466,1462,1420,0,0,0,1580,-0.04396652086957675,-2.778684118957251,63.2,0.8622100954979536
BIAS_GATE,1925,-90.88334758170747,1925,736,735,1043,0,0,0,1162,-0.047212128613874006,-1.5147224596951245,32.083333333333336,0.8718297101449275
ALPHA_STACK,3257,-191.56464141367087,3257,1210,1209,1096,0,0,0,1226,-0.0588162853588182,-3.1927440235611813,54.28333333333333,0.8972451790633609
CAND_DISP15,3444,-203.4060354234351,3444,1272,1271,1209,0,0,0,1347,-0.05906098589530636,-3.390100590390585,57.4,0.9025157232704403
CAND_DISPLACE,3312,-214.45461141907035,3312,1200,1200,1269,0,0,0,1413,-0.06475078847194153,-3.5742435236511723,55.2,0.92
NO_SUPERSEDE,33475,-2985.4935285305223,33475,11454,11400,15445,0,0,0,17126,-0.0891857663489327,-49.7582254755087,557.9166666666666,0.9741866014783773
