config,days,trades,ev_per_trade,pnl_total,pnl_per_day,win_rate,trades_per_day,n_sl,n_tp,n_inv,n_subsec_sl,pct_subsec_sl,avg_hold_secs,avg_win,avg_loss,kwargs
v6_optimal,59,3554,-0.01962193657862825,-69.73636260044479,-1.181972247465166,0.1899268429938098,60.23728813559322,1622,662,1263,1145,32.21722003376477,27.137310073157007,0.32976959137351436,-0.1015390193739378,{'atr_anchor_sl_tp': False}
atr_anchor_m2p5_m10p0,59,3554,-0.021074229767424322,-74.89781259342604,-1.2694544507360346,0.14546989307822172,60.23728813559322,1705,505,1337,808,22.73494653911086,23.045019696117052,0.5719209388720053,-0.12202204082655677,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 2.5, 'tp_atr_mult': 10.0}"
atr_anchor_m4p0_m8p0,59,3554,-0.02467165773157596,-87.68307157802096,-1.4861537555596773,0.2208778840742825,60.23728813559322,1444,774,1326,434,12.21159257175014,29.8351153629713,0.44686265857850943,-0.1583496780650599,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 4.0, 'tp_atr_mult': 8.0}"
atr_anchor_m0p5_m1p1,59,3554,-0.025977219324324122,-92.32303747864793,-1.5647972454008123,0.15447383230163197,60.23728813559322,1774,542,1237,1454,40.911648846370284,9.703432751828926,0.26653750235194146,-0.07941834484854036,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 0.5, 'tp_atr_mult': 1.1}"
atr_anchor_m3p5_m7p0,59,3554,-0.02716234707925124,-96.53498151965891,-1.6361861274518459,0.21384355655599324,60.23728813559322,1478,749,1318,536,15.081598199212154,24.10551491277434,0.41283858296783815,-0.14684763943279022,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 3.5, 'tp_atr_mult': 7.0}"
atr_anchor_m1p0_m2p0,59,3554,-0.028467283510207646,-101.17272559527798,-1.7147919592419998,0.16235227912211592,60.23728813559322,1734,570,1249,1340,37.70399549803039,9.999718626899268,0.2785971172732194,-0.0879822849385037,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 1.0, 'tp_atr_mult': 2.0}"
atr_anchor_m2p0_m4p0,59,3554,-0.029082875140503513,-103.36053824934949,-1.7518735296499914,0.18345526167698367,60.23728813559322,1624,645,1283,983,27.65897580191334,12.925998874507597,0.33173198364007384,-0.11014810185481655,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 2.0, 'tp_atr_mult': 4.0}"
atr_anchor_m1p5_m3p0,59,3554,-0.02997211145292059,-106.52088410367978,-1.8054387136216912,0.17135621834552617,60.23728813559322,1684,602,1267,1176,33.08947664603264,11.008159819921216,0.3029419376026115,-0.0988157976582921,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 1.5, 'tp_atr_mult': 3.0}"
atr_anchor_m2p5_m5p5,59,3554,-0.030015123138184763,-106.67374763310865,-1.8080296209001465,0.18345526167698367,60.23728813559322,1602,644,1305,808,22.73494653911086,16.457512661789533,0.3813017745763973,-0.12242677624290821,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 2.5, 'tp_atr_mult': 5.5}"
atr_anchor_m3p0_m6p0,59,3554,-0.03103467980215414,-110.29725201685582,-1.8694449494382344,0.19949352841868317,60.23728813559322,1537,699,1312,659,18.542487338210467,19.37450759707372,0.38539029652764073,-0.134811589544799,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 3.0, 'tp_atr_mult': 6.0}"
atr_anchor_m2p5_m3p0,59,3554,-0.03390215491436632,-120.4882585656579,-2.042173873994202,0.2284749577940349,60.23728813559322,1480,805,1267,807,22.706809229037702,13.244231851435003,0.2648971070842009,-0.1223868378986247,"{'atr_anchor_sl_tp': True, 'sl_atr_mult': 2.5, 'tp_atr_mult': 3.0}"
