config,day,n_trades,pnl_total,ev_per_trade,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,error
OPTIMAL,2024-01-23,18,1.2758910950059696,0.07088283861144276,18,9,9,2,0,0,396,11,6,1,
OPTIMAL,2024-02-07,22,0.9093543736130414,0.0413342897096837,22,9,9,5,1,1,94,12,10,0,
OPTIMAL,2024-02-08,30,-1.6050281205222443,-0.053500937350741476,30,10,10,7,1,1,169,19,11,0,
OPTIMAL,2024-02-16,36,-0.17020877556698605,-0.00472802154352739,36,13,13,15,2,2,815,13,23,0,
OPTIMAL,2024-02-23,51,0.3663915138127624,0.007184147329662008,51,21,21,21,1,1,879,24,27,0,
OPTIMAL,2024-03-08,67,-2.798686249004883,-0.041771436552311685,67,25,25,25,1,1,252,30,37,0,
OPTIMAL,2024-03-13,65,0.13717168695408577,0.0021103336454474735,65,25,25,22,2,2,1005,30,35,0,
OPTIMAL,2024-04-11,66,-1.6215696549417469,-0.024569237196087074,66,22,22,28,6,6,786,29,37,0,
OPTIMAL,2024-05-06,62,-2.1119040011497723,-0.0340629677604802,62,22,22,20,2,2,218,28,32,2,
OPTIMAL,2024-05-07,55,0.25616233101679114,0.004657496927578021,55,18,18,24,6,6,194,18,37,0,
OPTIMAL,2024-05-14,78,-1.650472423211492,-0.021159902861685793,78,26,26,25,4,4,46,33,42,3,
OPTIMAL,2024-05-17,94,-0.09242651618812177,-0.0009832608105119337,94,33,33,39,4,4,520,39,55,0,
OPTIMAL,2024-05-24,32,-0.10426576636064055,-0.0032583051987700173,32,14,14,11,2,2,724,10,22,0,
OPTIMAL,2024-05-31,56,-0.20170726738463912,-0.0036019154890114128,56,21,21,11,3,3,299,39,17,0,
OPTIMAL,2024-06-11,53,-1.7162947337064907,-0.03238291950389605,53,18,18,13,1,1,1057,40,13,0,
OPTIMAL,2024-06-18,48,-3.3427384415569277,-0.06964038419910266,48,15,15,22,3,3,67,15,33,0,
OPTIMAL,2024-06-24,47,-1.1005953096946541,-0.02341692148286498,47,17,17,8,1,1,443,27,15,5,
