config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,n_structure_invalidations,error
SNIPER_BASE,2024-01-02,2,1.2500000000004547,0.6250000000002274,11,2,4,5,1,2,11,2,0,0,2,0,0,
SNIPER_BASE,2024-01-22,0,0.0,0.0,14,0,10,4,0,0,14,0,0,0,0,0,0,
SNIPER_BASE,2024-01-23,0,0.0,0.0,8,0,3,5,0,0,8,0,0,0,0,0,0,
SNIPER_BASE,2024-01-24,2,-0.6070000000001983,-0.30350000000009913,17,2,9,6,2,2,17,2,0,0,2,0,0,
SNIPER_BASE,2024-02-05,1,6.180000000000064,6.180000000000064,24,1,12,11,0,1,24,1,0,0,1,0,0,
SNIPER_BASE,2024-02-06,5,5.680000000003248,1.1360000000006496,10,5,4,1,4,5,10,5,0,0,5,0,0,
SNIPER_BASE,2024-02-14,3,-0.459999999999809,-0.15333333333326968,11,3,4,4,3,3,11,3,0,0,3,0,0,
SNIPER_BASE,2024-02-20,2,-0.6769999999999072,-0.3384999999999536,13,2,8,3,2,2,13,2,0,0,2,0,0,
SNIPER_BASE,2024-03-05,5,7.166000000000622,1.4332000000001244,18,5,4,9,4,5,18,5,0,0,5,0,0,
SNIPER_BASE,2024-03-08,4,-2.2100000000000364,-0.5525000000000091,23,4,11,7,4,4,23,4,0,0,4,0,0,
SNIPER_BASE,2024-04-04,3,7.880000000000109,2.626666666666703,11,3,1,7,1,3,11,3,0,0,3,0,0,
SNIPER_BASE,2024-04-26,4,-2.0299999999997453,-0.5074999999999363,19,4,9,6,4,4,19,4,0,0,4,0,0,
SNIPER_BASE,2024-04-29,6,10.6970000000033,1.7828333333338833,18,6,6,6,4,6,18,6,0,0,6,0,0,
SNIPER_BASE,2024-05-02,6,2.593000000000302,0.432166666666717,29,6,11,12,4,6,29,6,0,0,6,0,0,
SNIPER_BASE,2024-05-06,5,-2.687000000000353,-0.5374000000000706,21,5,6,10,5,5,21,5,0,0,5,0,0,
SNIPER_BASE,2024-05-09,3,7.165999999997894,2.3886666666659644,31,3,18,10,2,3,31,3,0,0,3,0,0,
SNIPER_BASE,2024-05-15,6,4.84900000000016,0.8081666666666933,16,6,4,6,5,6,16,6,0,0,6,0,0,
