config,day,n_trades,pnl_total,ev_per_trade,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,error
INV_0,2024-01-23,18,1.2758910950059696,0.07088283861144276,18,9,9,2,0,0,
INV_0,2024-02-07,22,0.9093543736130414,0.0413342897096837,22,9,9,5,1,1,
INV_0,2024-02-08,30,-1.6050281205222443,-0.053500937350741476,30,10,10,7,1,1,
INV_0,2024-02-16,36,-0.17020877556698605,-0.00472802154352739,36,13,13,15,2,2,
INV_0,2024-02-23,51,0.3663915138127624,0.007184147329662008,51,21,21,21,1,1,
INV_0,2024-03-08,67,-2.798686249004883,-0.041771436552311685,67,25,25,25,1,1,
INV_0,2024-03-13,65,0.13717168695408577,0.0021103336454474735,65,25,25,22,2,2,
INV_0,2024-04-11,66,-1.6215696549417469,-0.024569237196087074,66,22,22,28,6,6,
INV_0,2024-05-06,62,-2.1119040011497723,-0.0340629677604802,62,22,22,20,2,2,
INV_0,2024-05-07,55,0.25616233101679114,0.004657496927578021,55,18,18,24,6,6,
INV_0,2024-05-14,78,-1.650472423211492,-0.021159902861685793,78,26,26,25,4,4,
INV_0,2024-05-17,94,-0.09242651618812177,-0.0009832608105119337,94,33,33,39,4,4,
INV_0,2024-05-24,32,-0.10426576636064055,-0.0032583051987700173,32,14,14,11,2,2,
INV_0,2024-05-31,56,-0.20170726738463912,-0.0036019154890114128,56,21,21,11,3,3,
INV_0,2024-06-11,53,-1.7162947337064907,-0.03238291950389605,53,18,18,13,1,1,
INV_0,2024-06-18,48,-3.3427384415569277,-0.06964038419910266,48,15,15,22,3,3,
INV_0,2024-06-24,47,-1.1005953096946541,-0.02341692148286498,47,17,17,8,1,1,
INV_0,2024-06-25,58,-1.4010012172019137,-0.024155193400032995,58,21,21,17,0,0,
INV_0,2024-06-26,53,-0.17305429354852694,-0.0032651753499722065,53,20,20,10,1,1,
INV_0,2024-07-01,50,-0.5487591520795831,-0.010975183041591664,50,18,18,10,0,0,
INV_0,2024-07-17,57,-1.505840093177388,-0.026418247248726108,57,20,20,27,6,6,
INV_0,2024-07-18,52,-0.7180727790747976,-0.013809091905284569,52,22,22,12,0,0,
INV_0,2024-07-31,82,-2.6969367974173415,-0.032889473139235875,82,29,29,20,3,3,
INV_0,2024-08-13,43,-1.6456917821208967,-0.0382719019097883,43,15,15,6,0,0,
INV_0,2024-08-19,47,-0.6274052635587093,-0.013349048160823601,47,18,18,13,1,1,
INV_0,2024-09-05,67,-0.10374120399243723,-0.0015483761789916006,67,24,24,25,2,2,
INV_0,2024-09-12,101,-4.828619279610848,-0.04780811167931533,101,34,34,46,9,9,
INV_0,2024-10-18,76,-2.8017833070081606,-0.03686556982905474,76,25,25,22,5,5,
INV_0,2024-10-23,98,2.7525066788677273,0.028086802845589055,98,37,37,36,6,6,
INV_0,2024-11-04,39,-0.6559360935872671,-0.01681887419454531,39,14,14,9,1,1,
INV_0,2024-12-05,61,0.11441188638339848,0.0018756046948098111,61,23,23,17,3,3,
INV_0,2025-01-29,53,-0.8379381830994439,-0.015810154398102714,53,18,18,35,4,4,
INV_0,2025-02-19,44,0.12328839602893528,0.00280200900065762,44,19,18,15,1,1,
INV_0,2025-02-27,76,-0.40424208555365704,-0.00531897480991654,76,27,27,16,2,2,
INV_0,2025-03-24,53,-0.4085530391921565,-0.007708547909285972,53,21,21,12,1,1,
INV_0,2025-04-09,98,4.902650304699515,0.050027043925505256,98,34,34,30,7,7,
INV_0,2025-04-17,84,-2.151980697722441,-0.02561881783002906,84,28,27,37,7,7,
INV_0,2025-04-30,65,-7.10178868229726,-0.10925828741995784,65,23,23,24,5,5,
INV_0,2025-05-14,112,-4.483502022185803,-0.040031268055230385,112,39,39,47,8,8,
INV_0,2025-06-12,55,-0.4289018266301051,-0.007798215029638275,55,22,22,11,2,2,
INV_0,2025-06-13,97,1.4227508566467197,0.014667534604605358,97,32,32,44,11,11,
INV_0,2025-06-17,56,-4.071285768582129,-0.07270153158182373,56,19,19,27,3,3,
INV_0,2025-07-07,64,2.313300448428739,0.036145319506699046,64,26,26,25,4,4,
INV_0,2025-07-23,72,-1.6232124383233593,-0.022544617198935545,72,26,26,30,4,4,
INV_0,2025-08-06,50,0.8534435938440764,0.01706887187688153,50,17,17,17,3,3,
INV_0,2025-09-09,67,-3.269060650635614,-0.04879195000948677,67,24,24,30,5,5,
INV_0,2025-12-10,44,0.5692956295551993,0.012938537035345438,44,17,17,18,4,4,
INV_0,2025-12-15,42,0.36207826679734956,0.008620911114222609,42,17,17,9,1,1,
INV_0,2025-12-19,49,-2.2699454877301832,-0.04632541811694252,49,16,16,31,7,7,
INV_0,2025-12-30,73,-6.509198460616972,-0.0891671022002325,73,24,24,27,5,5,
INV_0,2026-02-12,49,-8.084122436936621,-0.16498209054972696,49,18,18,25,6,6,
INV_0,2026-02-25,64,0.9187015079117674,0.014354711061121366,64,21,21,23,7,7,
INV_0,2026-03-02,62,-0.848528146853217,-0.013685937852471242,62,23,23,11,3,3,
INV_0,2026-03-06,84,-2.017857502255841,-0.024022113122093347,84,28,28,19,5,5,
INV_0,2026-04-15,63,-1.0609012726211708,-0.016839702740018586,63,24,24,30,6,6,
INV_0,2026-05-06,112,-8.626688375654643,-0.07702400335405932,112,43,43,49,12,12,
INV_0,2026-05-12,110,1.1735900517815023,0.01066900047074093,110,41,40,46,13,13,
INV_0,2026-06-05,80,-4.961870273891995,-0.06202337842364993,80,29,29,32,7,7,
INV_0,2026-06-24,125,-8.295910915321505,-0.06636728732257204,125,43,43,45,7,7,
INV_3,2024-01-23,16,1.4594353988034072,0.09121471242521295,16,8,8,2,0,0,
INV_3,2024-02-07,19,1.0219980517739107,0.0537893711459953,19,8,8,5,1,1,
INV_3,2024-02-08,30,-1.6050281205222443,-0.053500937350741476,30,10,10,7,1,1,
INV_3,2024-02-16,36,-0.17020877556698605,-0.00472802154352739,36,13,13,15,2,2,
INV_3,2024-02-23,51,0.3663915138127624,0.007184147329662008,51,21,21,21,1,1,
INV_3,2024-03-08,61,-2.447838791377914,-0.04012850477668711,61,23,23,25,1,1,
INV_3,2024-03-13,50,1.4589564585893036,0.02917912917178607,50,20,20,18,1,1,
INV_3,2024-04-11,64,-1.639151543188291,-0.025611742862317047,64,21,21,28,6,6,
INV_3,2024-05-06,59,-2.012570667816514,-0.03411136725112735,59,21,21,17,2,2,
INV_3,2024-05-07,50,0.31296755126807807,0.006259351025361562,50,16,16,24,6,6,
INV_3,2024-05-14,78,-1.650472423211492,-0.021159902861685793,78,26,26,25,4,4,
INV_3,2024-05-17,86,-0.17271789147995753,-0.0020083475753483434,86,30,30,34,4,4,
INV_3,2024-05-24,32,-0.10426576636064055,-0.0032583051987700173,32,14,14,11,2,2,
INV_3,2024-05-31,56,-0.20170726738463912,-0.0036019154890114128,56,21,21,11,3,3,
INV_3,2024-06-11,50,-1.5254271537978639,-0.030508543075957278,50,17,17,13,1,1,
INV_3,2024-06-18,48,-3.3427384415569277,-0.06964038419910266,48,15,15,22,3,3,
INV_3,2024-06-24,44,-1.094806287396144,-0.02488196107718509,44,16,16,8,1,1,
INV_3,2024-06-25,58,-1.4010012172019137,-0.024155193400032995,58,21,21,17,0,0,
INV_3,2024-06-26,53,-0.17305429354852694,-0.0032651753499722065,53,20,20,10,1,1,
INV_3,2024-07-01,47,-0.4587591520797408,-0.009760833022973208,47,17,17,7,0,0,
INV_3,2024-07-17,57,-1.505840093177388,-0.026418247248726108,57,20,20,27,6,6,
INV_3,2024-07-18,49,-1.1741462254026374,-0.023962167865359946,49,21,21,12,0,0,
INV_3,2024-07-31,78,-2.4474367974174434,-0.03137739483868517,78,28,28,16,2,2,
INV_3,2024-08-13,41,-1.6639502090871854,-0.040584151441150865,41,14,14,6,0,0,
INV_3,2024-08-19,41,-0.4647984259519642,-0.011336546974438151,41,16,16,13,1,1,
INV_3,2024-09-05,64,-0.0404078706590857,-0.0006313729790482141,64,23,23,23,2,2,
INV_3,2024-09-12,93,-4.04673466422643,-0.04351327595942398,93,32,32,41,7,7,
INV_3,2024-10-18,76,-2.8017833070081606,-0.03686556982905474,76,25,25,22,5,5,
INV_3,2024-10-23,89,2.8585774480014456,0.03211884773035332,89,34,34,32,5,5,
INV_3,2024-11-04,33,-0.34073462838599283,-0.01032529176927251,33,12,12,9,1,1,
INV_3,2024-12-05,54,-0.5286881136163781,-0.009790520622525521,54,21,21,11,2,2,
