config,day,n_trades,pnl_total,ev_per_trade,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,error
BASELINE,2024-01-23,18,1.2758910950059696,0.07088283861144276,18,9,9,2,0,0,396,11,6,1,
BASELINE,2024-02-20,40,-0.7552580078314957,-0.01888145019578739,40,14,14,18,0,0,236,17,23,0,
BASELINE,2024-02-27,43,-0.8084224354693106,-0.018800521755100247,43,16,16,18,0,0,607,18,25,0,
BASELINE,2024-03-18,54,-1.579016930660449,-0.029241054271489795,54,20,20,28,0,0,981,21,30,3,
BASELINE,2024-04-17,59,0.018783690965544116,0.0003183676434837986,59,22,22,31,0,0,533,20,39,0,
BASELINE,2024-05-13,86,-0.5861311089838638,-0.0068154780114402765,86,33,33,31,0,0,594,42,44,0,
BASELINE,2024-05-14,74,-2.4430724232117127,-0.033014492205563684,74,26,26,23,0,0,46,33,38,3,
BASELINE,2024-05-21,48,0.711006676174596,0.01481263908697075,48,20,20,15,0,0,945,24,24,0,
BASELINE,2024-05-24,30,0.6457342336393594,0.021524474454645316,30,14,14,9,0,0,724,10,20,0,
BASELINE,2024-06-10,57,1.0722936884321825,0.01881216997249443,57,23,23,12,0,0,233,23,34,0,
BASELINE,2024-07-02,40,-0.7976267862938282,-0.019940669657345707,40,14,14,12,0,0,64,21,19,0,
BASELINE,2024-07-03,100,-1.3620282880372845,-0.013620282880372845,100,39,39,24,0,0,993,64,33,3,
BASELINE,2024-08-09,62,-1.233130420727927,-0.019889200334321403,62,24,24,19,0,0,605,33,29,0,
BASELINE,2024-11-06,99,0.05228050470638366,0.0005280859061250875,99,41,41,22,0,0,760,58,41,0,
BASELINE,2024-11-19,60,-2.1375289398401947,-0.03562548233066991,60,24,24,18,0,0,541,32,28,0,
BASELINE,2024-12-23,74,-0.6888778575513849,-0.009309160237180876,74,28,28,18,0,0,845,48,26,0,
BASELINE,2025-02-17,29,-1.574140366607632,-0.05428070229681489,29,12,12,6,0,0,61,17,9,3,
BASELINE,2025-03-12,39,1.002498184817038,0.025705081661975333,39,17,17,9,0,0,515,25,14,0,
BASELINE,2025-04-14,43,-0.19301599493095026,-0.004488744068161634,43,17,17,6,0,0,72,24,19,0,
BASELINE,2025-06-06,75,-4.005291018390835,-0.05340388024521114,75,30,30,32,0,0,383,39,36,0,
