config,day,n_trades,pnl_total,ev_per_trade,avg_hold_sec,p25_hold_sec,p50_hold_sec,p75_hold_sec,p90_hold_sec,p95_hold_sec,n_fvg,n_ifvg,n_orb,n_wyckoff,n_sweep,n_inv,n_fills,n_signals_emitted,n_soft_stops,error
BASELINE,2024-01-02,30,0.18304500747732774,0.006101500249244258,85.53333333333333,0.0,0.5,52.0,193.30000000000004,458.3999999999988,6,24,0,0,0,0,30,14,12,
BASELINE,2024-01-22,48,-0.7962910182084216,-0.01658939621267545,51.125,0.0,8.5,40.25,143.3,238.8999999999998,15,33,0,0,0,0,48,16,16,
BASELINE,2024-01-23,18,1.2758910950059696,0.07088283861144276,89.0,5.75,27.0,141.0,300.00000000000006,344.2999999999999,10,8,0,0,0,0,18,9,2,
BASELINE,2024-01-24,53,-1.5471984061454502,-0.029192422757461325,11.566037735849056,0.0,1.0,11.0,34.400000000000055,68.19999999999999,15,38,0,0,0,0,53,21,18,
BASELINE,2024-02-05,72,-0.285555061672388,-0.003966042523227611,48.763888888888886,1.0,12.0,36.75,144.39999999999998,196.90000000000006,24,48,0,0,0,0,72,27,28,
BASELINE,2024-02-06,31,-0.5391888331322056,-0.017393188165555018,25.967741935483872,1.5,8.0,16.0,68.0,119.5,2,29,0,0,0,0,31,11,14,
BASELINE,2024-02-14,28,0.2662273252089259,0.00950811875746164,81.17857142857143,0.0,15.5,89.0,199.50000000000003,369.74999999999966,7,21,0,0,0,0,28,12,9,
BASELINE,2024-02-20,40,-0.7552580078314957,-0.01888145019578739,38.725,0.0,5.0,58.75,119.00000000000001,144.89999999999995,10,30,0,0,0,0,40,14,18,
BASELINE,2024-03-05,52,-1.5790016678348973,-0.03036541668913264,45.51923076923077,0.75,4.0,23.75,87.8,195.99999999999991,23,29,0,0,0,0,52,20,12,
BASELINE,2024-03-08,66,-1.6586862490045557,-0.02513160983340236,22.09090909090909,0.0,0.0,6.75,54.0,90.5,15,51,0,0,0,0,66,25,24,
BASELINE,2024-04-04,27,-0.10534708303354512,-0.0039017438160572266,69.44444444444444,0.0,2.0,7.0,71.20000000000009,595.3999999999995,15,12,0,0,0,0,27,11,3,
BASELINE,2024-04-26,50,-2.0482107258365736,-0.04096421451673147,19.84,0.0,1.0,11.75,38.50000000000001,74.79999999999984,12,38,0,0,0,0,50,19,17,
BASELINE,2024-04-29,51,-0.9787457280444869,-0.019191092706754644,35.94117647058823,0.0,6.0,35.5,76.0,96.0,13,38,0,0,0,0,51,19,20,
