config,n_trades,pnl_total,n_fills,n_signals_emitted,n_soft_stops,n_fvg,n_ifvg,n_orb,n_wyckoff,n_sweep,n_inv,ev_per_trade,pnl_per_day,trades_per_day,p25_hold_sec,p50_hold_sec,p75_hold_sec,p90_hold_sec,p95_hold_sec,pct_fvg,pct_ifvg,pct_orb,pct_wyckoff,pct_sweep,pct_inv
INVERSE_BREADTH_OFF,1029,85.56036133334125,1029,391,319,305,724,0,0,0,0,0.08314903919663873,4.278018066667062,51.45,0.95578231292517,18.085519922254615,126.58114674441205,511.78756073858153,1375.6130223517957,29.64042759961127,70.35957240038873,0.0,0.0,0.0,0.0
INV_TRADE_ON,1073,-13.365017337960051,1073,391,341,305,724,0,0,0,44,-0.012455747752059694,-0.6682508668980025,53.65,0.287977632805219,4.462255358807083,28.18918918918919,89.63634669151912,183.16616961789356,28.42497670083877,67.47437092264678,0.0,0.0,0.0,4.100652376514446
SOFT_STOP_OFF,1029,-15.17461873987971,1029,391,0,305,724,0,0,0,0,-0.014746956987249475,-0.7587309369939855,51.45,0.10058309037900874,2.9766763848396502,19.463556851311953,78.64742468415939,157.6369290573371,29.64042759961127,70.35957240038873,0.0,0.0,0.0,0.0
PIERCE_TIGHT,1009,-16.298965012072284,1009,386,289,329,680,0,0,0,0,-0.016153582767167773,-0.8149482506036142,50.45,0.2522299306243806,3.9197224975222995,23.555500495540137,83.34965312190289,153.6067393458869,32.60654112983152,67.39345887016849,0.0,0.0,0.0,0.0
IFVG_AGE_60,1002,-16.634006485588998,1002,382,308,305,697,0,0,0,0,-0.016600804875837323,-0.8317003242794498,50.1,0.28542914171656686,4.342315369261477,24.353293413173652,82.74570858283434,158.41287425149685,30.439121756487026,69.56087824351297,0.0,0.0,0.0,0.0
RENKO_INV_ON,1029,-17.914417337961368,1029,391,320,305,724,0,0,0,0,-0.017409540658854583,-0.8957208668980684,51.45,0.2536443148688047,3.990281827016521,24.30466472303207,81.6563654033042,154.5369290573371,29.64042759961127,70.35957240038873,0.0,0.0,0.0,0.0
BASELINE,1029,-17.935417337961024,1029,391,314,305,724,0,0,0,0,-0.017429948822119557,-0.8967708668980512,51.45,0.2536443148688047,3.990281827016521,24.30466472303207,81.6563654033042,154.5369290573371,29.64042759961127,70.35957240038873,0.0,0.0,0.0,0.0
TP_ATR_080,1029,-17.935417337961024,1029,391,314,305,724,0,0,0,0,-0.017429948822119557,-0.8967708668980512,51.45,0.2536443148688047,3.990281827016521,24.30466472303207,81.6563654033042,154.5369290573371,29.64042759961127,70.35957240038873,0.0,0.0,0.0,0.0
SL_ATR_050,1029,-17.935417337961024,1029,391,314,305,724,0,0,0,0,-0.017429948822119557,-0.8967708668980512,51.45,0.2536443148688047,3.990281827016521,24.30466472303207,81.6563654033042,154.5369290573371,29.64042759961127,70.35957240038873,0.0,0.0,0.0,0.0
RESAMPLE_1S,1418,-27.004711987291028,1418,563,314,697,721,0,0,0,0,-0.019044225660995083,-1.3502355993645514,70.9,0.1459802538787024,2.7214386459802538,13.958392101551482,44.709732016925265,71.10409026798304,49.15373765867419,50.84626234132581,0.0,0.0,0.0,0.0
BOS_ALIGN_OFF,1029,-20.207789255432697,1029,391,632,305,724,0,0,0,0,-0.01963827915979854,-1.0103894627716348,51.45,0.272108843537415,4.9727891156462585,27.163751214771622,88.0058309037901,170.8665694849367,29.64042759961127,70.35957240038873,0.0,0.0,0.0,0.0
SWEEP_ON,1564,-35.68928660655183,1564,1264,529,21,724,0,0,819,0,-0.02281923696071089,-1.7844643303275916,78.2,0.2237851662404092,4.7576726342711,27.392902813299234,87.35217391304347,150.21323529411754,1.3427109974424551,46.29156010230179,0.0,0.0,52.36572890025575,0.0
MIN_ZONE_050,961,-24.243768977817886,961,355,314,237,724,0,0,0,0,-0.025227647219373452,-1.2121884488908943,48.05,0.12174817898022892,3.162330905306972,22.13423517169615,76.98147762747142,132.45858480749212,24.661810613943807,75.33818938605619,0.0,0.0,0.0,0.0
MIN_ZONE_080,875,-28.22266463461127,875,313,314,151,724,0,0,0,0,-0.032254473868127166,-1.4111332317305636,43.75,0.16171428571428573,2.4857142857142858,17.23314285714286,55.34354285714287,94.09142857142851,17.257142857142856,82.74285714285715,0.0,0.0,0.0,0.0
NUM_LAYERS_1,294,-12.342499999986105,294,391,110,60,234,0,0,0,0,-0.04198129251695954,-0.6171249999993053,14.7,0.35374149659863946,1.4557823129251701,8.97278911564626,19.516326530612247,32.54149659863945,20.408163265306122,79.59183673469387,0.0,0.0,0.0,0.0
