config,day,n_trades,pnl_total,ev_per_trade,avg_hold_sec,p25_hold_sec,p50_hold_sec,p75_hold_sec,p90_hold_sec,p95_hold_sec,n_fvg,n_ifvg,n_orb,n_wyckoff,n_sweep,n_inv,n_fills,n_signals_emitted,n_soft_stops,error
BASELINE,2024-06-07,115,-3.872094365151497,-0.03367038578392606,21.14782608695652,0.0,0.0,6.5,27.200000000000017,103.79999999999995,33,82,0,0,0,0,115,46,39,
BASELINE,2024-06-12,68,-1.8914684346709691,-0.027815712274573075,22.735294117647058,0.0,0.0,10.25,29.400000000000034,118.99999999999991,20,48,0,0,0,0,68,26,15,
BASELINE,2024-06-13,49,-2.4444031013769445,-0.04988577757912132,42.795918367346935,0.0,4.0,16.0,57.400000000000006,113.59999999999982,8,41,0,0,0,0,49,18,15,
BASELINE,2024-06-14,67,-1.3114019031883497,-0.019573162734154475,22.98507462686567,0.0,1.0,14.5,46.8,116.59999999999988,22,45,0,0,0,0,67,26,23,
BASELINE,2024-06-19,19,-0.5816304531676906,-0.030612129114088976,30.473684210526315,3.5,19.0,46.0,80.79999999999998,96.29999999999991,10,9,0,0,0,0,19,7,3,
BASELINE,2024-07-04,36,-0.4451587653852584,-0.012365521260701623,66.19444444444444,0.0,8.5,44.25,153.0,221.25,9,27,0,0,0,0,36,13,13,
BASELINE,2024-07-08,77,-0.474575131514636,-0.0061633133962939735,51.76623376623377,0.0,6.0,16.0,120.20000000000024,227.4000000000001,32,45,0,0,0,0,77,30,23,
BASELINE,2024-07-12,63,-1.3836859789901914,-0.021963269507780814,100.15873015873017,0.0,0.0,3.0,185.80000000000052,308.29999999999995,15,48,0,0,0,0,63,24,18,
BASELINE,2024-07-17,51,-1.8432400931777315,-0.03614196261132807,21.862745098039216,0.0,1.0,8.0,28.0,78.0,17,34,0,0,0,0,51,20,24,
BASELINE,2024-07-22,57,0.062228234414305916,0.0010917234107772967,49.280701754385966,0.0,3.0,35.0,128.8,322.7999999999999,21,36,0,0,0,0,57,22,15,
BASELINE,2024-07-30,52,-0.8465883396311257,-0.01628054499290626,25.76923076923077,0.0,3.0,27.25,95.19999999999996,153.8999999999998,20,32,0,0,0,0,52,20,12,
BASELINE,2024-08-01,48,-1.6702456947343003,-0.03479678530696459,21.208333333333332,0.0,2.0,11.75,55.20000000000006,91.94999999999999,15,33,0,0,0,0,48,18,20,
BASELINE,2024-08-05,113,-2.219968515987148,-0.019645739079532282,10.893805309734514,0.0,1.0,5.0,20.799999999999997,50.59999999999984,28,85,0,0,0,0,113,45,33,
BASELINE,2024-08-21,43,-0.41002050801049933,-0.009535360651406961,44.25581395348837,0.0,3.0,18.5,96.6000000000001,260.0999999999998,8,35,0,0,0,0,43,18,16,
BASELINE,2024-08-28,51,-0.77490736998728,-0.015194262156613333,26.07843137254902,0.0,0.0,11.0,44.0,75.5,15,36,0,0,0,0,51,20,21,
BASELINE,2024-09-24,52,0.3723672346676117,0.007160908358992532,25.134615384615383,0.0,0.0,10.75,41.599999999999994,152.2499999999999,16,36,0,0,0,0,52,23,22,
BASELINE,2024-09-30,88,-1.4003111352673538,-0.01591262653712902,54.17045454545455,0.0,3.0,25.75,106.79999999999998,291.04999999999916,34,54,0,0,0,0,88,34,34,
BASELINE,2024-10-01,68,-1.8043249767720229,-0.02653419083488269,60.661764705882355,0.0,3.0,25.0,144.90000000000018,346.8499999999998,15,53,0,0,0,0,68,27,26,
BASELINE,2024-10-04,52,-1.66316774558436,-0.03198399510739154,17.26923076923077,0.0,0.0,7.0,30.599999999999994,96.1499999999998,16,36,0,0,0,0,52,20,9,
BASELINE,2024-10-10,31,0.48870723215350154,0.0157647494243065,64.19354838709677,1.0,21.0,50.0,92.0,256.0,11,20,0,0,0,0,31,14,11,
BASELINE,2024-10-15,61,-1.6877779716375396,-0.027668491338320323,22.42622950819672,0.0,1.0,9.0,59.0,156.0,16,45,0,0,0,0,61,24,17,
BASELINE,2024-10-18,71,-1.2097833070080621,-0.017039201507155804,14.76056338028169,0.0,2.0,14.5,49.0,78.0,12,59,0,0,0,0,71,25,17,
BASELINE,2024-10-22,66,-2.2961068044793747,-0.034789497037566286,15.121212121212121,0.0,1.0,5.5,31.0,49.0,9,57,0,0,0,0,66,24,22,
BASELINE,2024-11-13,48,-1.8453643210268638,-0.03844509002139299,19.458333333333332,0.0,1.5,12.0,64.60000000000005,86.94999999999999,18,30,0,0,0,0,48,19,22,
BASELINE,2024-11-28,81,-2.3427829078944646,-0.02892324577647487,26.839506172839506,0.0,0.0,25.0,64.0,172.0,15,66,0,0,0,0,81,31,42,
BASELINE,2024-12-02,70,-0.9337885953785493,-0.01333983707683642,76.57142857142857,0.0,3.0,15.0,42.70000000000004,82.0,21,49,0,0,0,0,70,27,18,
BASELINE,2025-01-03,65,-1.8111150199677772,-0.027863307999504264,13.461538461538462,0.0,0.0,8.0,22.20000000000001,55.79999999999994,14,51,0,0,0,0,65,24,27,
BASELINE,2025-01-08,36,-0.49134559548277446,-0.013648488763410401,26.61111111111111,0.0,1.0,28.25,77.0,132.25,6,30,0,0,0,0,36,14,13,
BASELINE,2025-01-15,53,-1.9100908490521156,-0.03603944998211539,20.71698113207547,0.0,0.0,8.0,47.800000000000004,58.59999999999999,23,30,0,0,0,0,53,21,15,
BASELINE,2025-01-22,46,-0.11136463956199802,-0.0024209704252608267,97.17391304347827,0.0,1.0,14.0,33.0,70.0,10,36,0,0,0,0,46,18,13,
BASELINE,2025-01-29,49,-3.1579381830996076,-0.06444771802244097,47.36734693877551,0.0,1.0,5.0,42.800000000000026,64.6,7,42,0,0,0,0,49,18,33,
BASELINE,2025-01-31,57,-1.88638866169246,-0.033094537924429124,7.43859649122807,0.0,0.0,1.0,11.799999999999997,17.399999999999906,12,45,0,0,0,0,57,20,21,
BASELINE,2025-02-21,34,0.5048376636386821,0.014848166577608297,15.529411764705882,0.0,1.5,9.75,30.999999999999993,48.84999999999998,13,21,0,0,0,0,34,15,12,
BASELINE,2025-03-11,41,0.14684586898359445,0.0035816065605754743,26.24390243902439,0.0,3.0,22.0,70.0,140.0,9,32,0,0,0,0,41,17,26,
BASELINE,2025-03-19,57,-0.8000801077578217,-0.014036493118558275,19.50877192982456,0.0,6.0,20.0,44.0,66.19999999999999,9,48,0,0,0,0,57,21,27,
BASELINE,2025-03-26,46,-0.14678367051707625,-0.003190949359066875,33.82608695652174,0.0,1.0,23.5,81.5,104.0,14,32,0,0,0,0,46,18,12,
BASELINE,2025-03-31,67,-3.144216861485954,-0.04692860987292469,8.940298507462687,0.0,0.0,1.0,21.599999999999987,50.69999999999995,13,54,0,0,0,0,67,24,30,
BASELINE,2025-04-10,85,-6.144415279144748,-0.0722872385781735,3.623529411764706,0.0,0.0,1.0,4.6000000000000085,8.599999999999994,23,62,0,0,0,0,85,33,39,
BASELINE,2025-05-09,74,-2.8149055416544493,-0.03803926407641148,13.108108108108109,0.0,0.0,5.0,24.500000000000014,42.19999999999993,23,51,0,0,0,0,74,29,25,
BASELINE,2025-05-13,59,-4.334412226730214,-0.0734646140123765,9.966101694915254,0.0,0.0,1.0,21.000000000000014,75.1,11,48,0,0,0,0,59,22,24,
BASELINE,2025-05-30,57,-2.7980234390151963,-0.049088130509038534,9.087719298245615,0.0,0.0,6.0,24.39999999999999,51.999999999999936,12,45,0,0,0,0,57,22,20,
BASELINE,2025-06-18,52,-3.164670484708192,-0.06085904778284985,2.826923076923077,0.0,0.0,3.0,11.0,13.449999999999996,7,45,0,0,0,0,52,20,15,
BASELINE,2025-06-30,78,-1.270657685895458,-0.01629048315250587,27.397435897435898,0.0,1.5,12.0,60.99999999999994,145.24999999999955,33,45,0,0,0,0,78,30,21,
BASELINE,2025-07-08,76,-2.3973856266719245,-0.031544547719367426,13.539473684210526,0.0,0.0,4.75,29.5,87.75,19,57,0,0,0,0,76,27,29,
BASELINE,2025-07-11,60,0.9627760703821575,0.016046267839702626,19.7,0.0,0.5,9.25,46.30000000000003,131.04999999999995,21,39,0,0,0,0,60,25,20,
BASELINE,2025-07-31,60,-1.7385724740385438,-0.028976207900642394,10.65,0.0,0.0,4.5,20.500000000000007,48.19999999999993,9,51,0,0,0,0,60,23,27,
