config,n_trades,pnl_total,n_fills,n_signals_emitted,n_soft_stops,n_fvg,n_ifvg,n_orb,n_wyckoff,n_sweep,n_inv,ev_per_trade,pnl_per_day,trades_per_day,p25_hold_sec,p50_hold_sec,p75_hold_sec,p90_hold_sec,p95_hold_sec,pct_fvg,pct_ifvg,pct_orb,pct_wyckoff,pct_sweep,pct_inv
INVERSE_BREADTH_OFF,5477,1569.1746093540364,5477,2111,2030,1360,4117,0,0,0,0,0.28650257610992086,19.614682616925457,68.4625,0.15409895928427972,3.975534051488041,54.652090560525835,439.2120503925509,1330.3747672083225,24.831111922585357,75.16888807741465,0.0,0.0,0.0,0.0
RESAMPLE_1S,9370,-238.8197047706758,9370,4466,1968,5265,4105,0,0,0,0,-0.02548769527968792,-2.9852463096334474,117.125,0.016648879402347917,0.8441835645677694,7.238153681963714,24.19398078975454,43.12980789754533,56.18996798292422,43.81003201707578,0.0,0.0,0.0,0.0
SOFT_STOP_OFF,5477,-185.1212138639914,5477,2111,0,1360,4117,0,0,0,0,-0.03379974691692375,-2.314015173299892,68.4625,0.01752784371006025,0.5455541354756254,6.898301990140588,30.541683403322995,68.63730144239543,24.831111922585357,75.16888807741465,0.0,0.0,0.0,0.0
INV_TRADE_ON,5895,-231.68200562210512,5895,2111,2241,1360,4117,0,0,0,418,-0.03930144285362258,-2.896025070276314,73.6875,0.023494486853265478,0.9467345207803223,10.230958439355385,42.10395250212046,91.41039864291766,23.070398642917727,69.83884648006786,0.0,0.0,0.0,7.090754877014419
PIERCE_TIGHT,5413,-271.05963123666834,5413,2091,1910,1437,3976,0,0,0,0,-0.050075675454769694,-3.388245390458354,67.6625,0.008682800665065583,0.8655089599113246,8.380103454646221,33.1599482726769,75.5052651025309,26.547201182338814,73.45279881766119,0.0,0.0,0.0,0.0
IFVG_AGE_60,5114,-257.05032700587526,5114,1990,1785,1360,3754,0,0,0,0,-0.050264045171270096,-3.213129087573441,63.925,0.02072741493938209,0.9382088384825968,8.303382870551427,36.53492373875637,78.54653891278836,26.593664450527964,73.40633554947203,0.0,0.0,0.0,0.0
BASELINE,5477,-277.5128056220439,5477,2111,1977,1360,4117,0,0,0,0,-0.05066876129670329,-3.468910070275549,68.4625,0.017801716268029944,0.8701844075223663,7.785375205404418,33.95866350191712,73.71643235347813,24.831111922585357,75.16888807741465,0.0,0.0,0.0,0.0
TP_ATR_080,5477,-277.5128056220439,5477,2111,1977,1360,4117,0,0,0,0,-0.05066876129670329,-3.468910070275549,68.4625,0.017801716268029944,0.8701844075223663,7.785375205404418,33.95866350191712,73.71643235347813,24.831111922585357,75.16888807741465,0.0,0.0,0.0,0.0
SL_ATR_050,5477,-277.5128056220439,5477,2111,1977,1360,4117,0,0,0,0,-0.05066876129670329,-3.468910070275549,68.4625,0.017801716268029944,0.8701844075223663,7.785375205404418,33.95866350191712,73.71643235347813,24.831111922585357,75.16888807741465,0.0,0.0,0.0,0.0
RENKO_INV_ON,5477,-277.7434630224957,5477,2111,1991,1360,4117,0,0,0,0,-0.050710875118220866,-3.471793287781196,68.4625,0.017801716268029944,0.8749315318605075,7.782636479824721,33.95866350191712,73.71643235347813,24.831111922585357,75.16888807741465,0.0,0.0,0.0,0.0
MIN_ZONE_050,5330,-289.349918327922,5330,2015,1977,1213,4117,0,0,0,0,-0.05428703908591408,-3.616873979099025,66.625,0.022889305816135085,0.724390243902439,6.5237335834896815,30.34679174484054,70.00913696060032,22.75797373358349,77.24202626641652,0.0,0.0,0.0,0.0
SWEEP_ON,8555,-515.6306478585519,8555,6932,3044,80,4117,0,0,4358,0,-0.06027243107639415,-6.445383098231899,106.9375,0.018468731735827002,0.7276446522501461,8.466335476329633,33.32764465225015,70.66568088836934,0.9351256575102279,48.1239041496201,0.0,0.0,50.94097019286966,0.0
MIN_ZONE_080,5012,-303.9877319892468,5012,1855,1977,895,4117,0,0,0,0,-0.060651981641908784,-3.799846649865585,62.65,0.022944932162809257,0.4684756584197925,5.009676775738228,22.900758180367127,46.77282521947322,17.857142857142858,82.14285714285714,0.0,0.0,0.0,0.0
BOS_ALIGN_OFF,5477,-355.5766320679285,5477,2111,3727,1360,4117,0,0,0,0,-0.06492178785246092,-4.444707900849106,68.4625,0.026748219828373197,1.1011502647434728,9.04327186415921,37.39788205221838,78.22088734708777,24.831111922585357,75.16888807741465,0.0,0.0,0.0,0.0
NUM_LAYERS_1,1578,-113.92100000017899,1578,2111,688,224,1354,0,0,0,0,-0.07219328263636185,-1.4240125000022374,19.725,0.025665399239543727,0.18377693282636248,1.614702154626109,6.304182509505704,11.614955640050692,14.195183776932826,85.80481622306718,0.0,0.0,0.0,0.0
