config,tp_mult,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,error
SNIPER_TP22,22.0,2024-01-02,2,1.2500000000004547,0.6250000000002274,12,2,4,6,1,1,12,2,
SNIPER_TP22,22.0,2024-01-22,0,0.0,0.0,18,0,10,8,0,0,18,0,
SNIPER_TP22,22.0,2024-01-23,0,0.0,0.0,8,0,3,5,0,0,8,0,
SNIPER_TP22,22.0,2024-01-24,2,-0.6070000000001983,-0.30350000000009913,18,2,9,7,2,2,18,2,
SNIPER_TP22,22.0,2024-02-05,1,6.180000000000064,6.180000000000064,26,1,12,13,0,1,26,1,
SNIPER_TP22,22.0,2024-02-06,5,5.660000000003266,1.1320000000006532,14,5,4,4,2,2,14,5,
SNIPER_TP22,22.0,2024-02-14,3,-0.7200000000000273,-0.2400000000000091,11,3,4,4,1,1,11,3,
SNIPER_TP22,22.0,2024-02-20,2,-0.7169999999998709,-0.3584999999999354,16,2,8,6,1,1,16,2,
SNIPER_TP22,22.0,2024-03-05,5,7.1260000000006585,1.4252000000001317,23,5,4,14,2,3,23,5,
SNIPER_TP22,22.0,2024-03-08,4,-2.150000000000091,-0.5375000000000227,23,4,11,8,3,3,23,4,
SNIPER_TP22,22.0,2024-04-04,3,7.900000000000091,2.6333333333333635,12,3,1,7,0,2,12,3,
SNIPER_TP22,22.0,2024-04-26,4,-1.9800000000000182,-0.49500000000000455,22,4,9,8,3,3,22,4,
SNIPER_TP22,22.0,2024-04-29,6,19.380000000000564,3.230000000000094,20,6,6,8,1,2,20,6,
SNIPER_TP22,22.0,2024-05-02,6,-1.8670000000001892,-0.3111666666666982,28,6,11,10,2,3,28,6,
SNIPER_TP22,22.0,2024-05-06,5,-2.7630000000003747,-0.5526000000000749,23,5,6,11,3,3,23,5,
SNIPER_TP22,22.0,2024-05-09,3,7.455999999997857,2.485333333332619,32,3,18,10,2,2,32,3,
SNIPER_TP22,22.0,2024-05-15,6,4.289000000000215,0.7148333333333691,20,6,4,9,3,4,20,6,
SNIPER_TP22,22.0,2024-05-22,5,25.612999999990734,5.122599999998147,29,5,12,11,1,3,29,5,
SNIPER_TP22,22.0,2024-05-31,10,21.86000000000695,2.186000000000695,22,10,4,8,5,7,22,10,
SNIPER_TP22,22.0,2024-06-05,11,37.589999999999236,3.4172727272726577,18,11,3,3,4,5,18,11,
SNIPER_TP22,22.0,2024-06-07,8,9.044000000009419,1.1305000000011773,42,8,16,17,3,4,42,8,
SNIPER_TP22,22.0,2024-06-12,4,12.233000000001084,3.058250000000271,26,4,12,9,1,2,26,4,
SNIPER_TP22,22.0,2024-06-13,6,5.952999999999521,0.9921666666665868,18,6,8,4,2,3,18,6,
SNIPER_TP22,22.0,2024-06-14,2,10.386999999999716,5.193499999999858,25,2,12,11,1,1,25,2,
SNIPER_TP22,22.0,2024-06-19,0,0.0,0.0,11,0,3,7,0,0,11,0,
SNIPER_TP22,22.0,2024-07-04,2,-0.8399999999996908,-0.4199999999998454,10,2,5,3,1,1,10,2,
SNIPER_TP22,22.0,2024-07-08,4,12.005999999996675,3.0014999999991687,33,4,12,16,0,0,33,4,
SNIPER_TP22,22.0,2024-07-12,9,9.289000000000215,1.032111111111135,26,9,7,10,5,5,26,9,
SNIPER_TP22,22.0,2024-07-17,8,-1.1439999999993233,-0.14299999999991542,19,8,4,7,2,2,19,8,
SNIPER_TP22,22.0,2024-07-22,2,-0.8799999999996544,-0.4399999999998272,21,2,9,9,0,0,21,2,
SNIPER_TP22,22.0,2024-07-30,2,-0.7400000000002365,-0.37000000000011823,22,2,8,12,1,1,22,2,
SNIPER_TP22,22.0,2024-08-01,4,-1.5430000000005748,-0.3857500000001437,16,4,6,5,1,1,16,4,
SNIPER_TP22,22.0,2024-08-05,14,-2.5069999999986976,-0.17907142857133554,46,14,14,17,7,7,46,14,
SNIPER_TP22,22.0,2024-08-21,7,-3.467000000000553,-0.49528571428579327,16,7,3,5,3,3,16,7,
SNIPER_TP22,22.0,2024-08-28,3,-0.9929999999999382,-0.33099999999997937,27,3,9,15,2,2,27,3,
