config,kind,value,split,n_days,trades,pnl_total,ev_per_trade,pnl_per_day,pos_days,neg_days
ZONE_TP4,zone,4.0,test,138,1992,1312.6759176028481,0.6589738542182972,9.51214433045542,102,36
ZONE_TP5,zone,5.0,test,138,1992,1760.7119176028307,0.8838915249010194,12.758782011614715,101,37
ZONE_TP6,zone,6.0,test,138,1992,2065.9189176028335,1.0371078903628683,14.970426939150968,107,31
ZONE_TP7,zone,7.0,test,138,1992,2376.505917602836,1.1930250590375682,17.221057373933593,105,33
ZONE_TP8,zone,8.0,test,138,1992,2717.8949176028195,1.3644050791178812,19.694890707266808,105,33
ZONE_TP9,zone,9.0,test,138,1992,2955.667917602819,1.4837690349411743,21.417883460889993,105,33
ZONE_TP10,zone,10.0,test,138,1992,3225.727917602828,1.6193413240978052,23.374839982629187,107,31
ZONE_TP11,zone,11.0,test,138,1992,3506.3679176028454,1.76022485823436,25.408463171035113,108,30
ZONE_TP12,zone,12.0,test,138,1992,3832.6259176028216,1.924008994780533,27.77265157683204,108,30
ZONE_TP13,zone,13.0,test,138,1992,4098.259917602843,2.0573593963869694,29.697535634803213,108,30
ZONE_TP14,zone,14.0,test,138,1992,4397.574917602852,2.20761793052352,31.866484910165596,108,30
ZONE_TP15,zone,15.0,test,138,1992,4544.200917602854,2.281225360242397,32.92899215654242,106,32
ZONE_TP16,zone,16.0,test,138,1992,4835.700917602866,2.4275607016078644,35.04131099712222,106,32
ZONE_TP17,zone,17.0,test,138,1992,5085.750917602902,2.5530878100416174,36.85326751886161,106,32
ZONE_TP18,zone,18.0,test,138,1992,5366.056917602901,2.6938036734954323,38.88447041741233,105,33
ZONE_TP19,zone,19.0,test,138,1992,5626.54991760289,2.8245732518086797,40.77210085219485,104,34
ZONE_TP20,zone,20.0,test,138,1992,5869.255917602884,2.9464136132544603,42.530839982629594,105,33
ZONE_TP21,zone,21.0,test,138,1992,5814.791917602907,2.919072247792624,42.1361733159631,105,33
ZONE_TP22,zone,22.0,test,138,1992,6019.459917602885,3.0218172277122917,43.619274765238295,104,34
ZONE_TP24,zone,24.0,test,138,1992,6427.786917602875,3.2268006614472267,46.578166069586054,106,32
ZONE_TP26,zone,26.0,test,138,1992,6748.3649176029485,3.3877333923709583,48.90119505509383,107,31
ZONE_TP26,zone,26.0,train,516,3708,7663.62949748129,2.0667824966238646,14.851995150157538,338,171
ZONE_TP28,zone,28.0,test,138,1992,7180.789917602939,3.604814215664126,52.034709547847385,106,32
ZONE_TP28,zone,28.0,train,516,3708,7980.1064974812925,2.152132280874135,15.465322669537388,336,173
ZONE_TP30,zone,30.0,test,138,1992,7484.688917602962,3.7573739546199607,54.23687621451422,106,32
ZONE_TP30,zone,30.0,train,516,3708,8266.187497481267,2.2292846541211615,16.019743212172997,335,174
ATR_TP50,atr,50.0,test,138,1992,3379.3501953675013,1.6964609414495488,24.488044893967402,109,29
ATR_TP60,atr,60.0,test,138,1992,3928.744450920423,1.972261270542381,28.46916268782915,110,28
ATR_TP70,atr,70.0,test,138,1992,4563.899398140033,2.2911141556927874,33.07173476913067,110,28
ATR_TP80,atr,80.0,test,138,1992,5052.942295359609,2.536617618152414,36.61552387941745,107,31
ATR_TP100,atr,100.0,test,138,1992,6072.468806465473,3.0484281156955184,44.00339714830053,109,29
