config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_inv_submitted,n_inv_filled,n_soft_stops,n_inversions,error
IMMEDIATE,2024-01-23,16,1.4594353988034072,0.09121471242521295,0,0,0,0,0,0,2,5,
IMMEDIATE,2024-02-07,18,0.1399980517738489,0.007777669542991607,0,0,0,0,0,0,5,6,
IMMEDIATE,2024-02-08,29,-1.0050281205221079,-0.03465614208696924,0,0,0,0,0,0,6,6,
IMMEDIATE,2024-02-23,50,-0.245608486187545,-0.0049121697237509,0,0,0,0,0,0,21,21,
IMMEDIATE,2024-03-08,60,-1.3078387913775866,-0.021797313189626445,0,0,0,0,0,0,24,27,
IMMEDIATE,2024-03-13,49,0.8829564585897365,0.018019519563055846,0,0,0,0,0,0,18,21,
IMMEDIATE,2024-04-11,58,-1.6079515431893017,-0.027723302468781064,0,0,0,0,0,0,24,26,
IMMEDIATE,2024-05-06,57,-1.2835706678171543,-0.02251878364591499,0,0,0,0,0,0,15,15,
IMMEDIATE,2024-05-08,29,0.004702574217390083,0.0001621577316341408,0,0,0,0,0,0,9,9,
IMMEDIATE,2024-05-14,74,-2.4430724232117127,-0.033014492205563684,0,0,0,0,0,0,23,34,
IMMEDIATE,2024-05-17,82,-0.876717891479681,-0.010691681603410745,0,0,0,0,0,0,31,40,
IMMEDIATE,2024-05-24,30,0.6457342336393594,0.021524474454645316,0,0,0,0,0,0,9,11,
IMMEDIATE,2024-06-03,61,-2.257337389777149,-0.03700553097995326,0,0,0,0,0,0,21,21,
IMMEDIATE,2024-06-11,49,-1.1354271537979912,-0.02317198273057125,0,0,0,0,0,0,12,12,
IMMEDIATE,2024-06-18,45,-2.195738441556993,-0.048794187590155406,0,0,0,0,0,0,20,21,
IMMEDIATE,2024-06-24,43,-0.7548062873959983,-0.017553634590604612,0,0,0,0,0,0,7,11,
IMMEDIATE,2024-06-25,58,-1.4010012172019137,-0.024155193400032995,0,0,0,0,0,0,17,18,
IMMEDIATE,2024-06-26,52,0.08994570645139302,0.0017297251240652504,0,0,0,0,0,0,9,11,
IMMEDIATE,2024-07-01,47,-0.4587591520797408,-0.009760833022973208,0,0,0,0,0,0,7,9,
IMMEDIATE,2024-07-18,49,-1.1741462254026374,-0.023962167865359946,0,0,0,0,0,0,12,12,
IMMEDIATE,2024-07-19,87,-1.7593705767555246,-0.020222650307534763,0,0,0,0,0,0,36,42,
IMMEDIATE,2024-07-31,76,-1.6074367974172978,-0.02115048417654339,0,0,0,0,0,0,14,15,
IMMEDIATE,2024-08-13,41,-1.6639502090871854,-0.040584151441150865,0,0,0,0,0,0,6,6,
IMMEDIATE,2024-08-19,40,-0.04479842595234615,-0.0011199606488086536,0,0,0,0,0,0,12,12,
IMMEDIATE,2024-09-05,62,-2.249007870658564,-0.036274320494492966,0,0,0,0,0,0,23,24,
IMMEDIATE,2024-09-12,86,-3.9541346642264825,-0.04597831004914515,0,0,0,0,0,0,37,39,
IMMEDIATE,2024-10-21,46,-1.120125967778525,-0.024350564516924456,0,0,0,0,0,0,18,21,
IMMEDIATE,2024-10-24,42,-1.0657429037772395,-0.025374831042315225,0,0,0,0,0,0,24,24,
IMMEDIATE,2024-11-05,29,-0.3158432145252542,-0.010891145328457042,0,0,0,0,0,0,6,8,
IMMEDIATE,2024-12-06,72,-2.7105160007190534,-0.03764605556554241,0,0,0,0,0,0,19,21,
IMMEDIATE,2025-01-29,49,-3.1579381830996076,-0.06444771802244097,0,0,0,0,0,0,33,33,
IMMEDIATE,2025-02-19,37,-0.18451882061071945,-0.004986995151641066,0,0,0,0,0,0,15,15,
IMMEDIATE,2025-02-27,71,-1.5193465900588305,-0.021399247747307473,0,0,0,0,0,0,15,18,
IMMEDIATE,2025-03-24,46,-0.09628808192777187,-0.002093219172342867,0,0,0,0,0,0,11,14,
IMMEDIATE,2025-04-09,83,-6.86594858434546,-0.08272227210054772,0,0,0,0,0,0,25,27,
IMMEDIATE,2025-04-17,74,-3.8816108680393886,-0.052454200919451195,0,0,0,0,0,0,34,37,
IMMEDIATE,2025-05-01,50,-0.6919823670964435,-0.013839647341928869,0,0,0,0,0,0,23,26,
IMMEDIATE,2025-05-14,103,-3.125893326533363,-0.030348478898382165,0,0,0,0,0,0,41,47,
IMMEDIATE,2025-06-13,81,-4.39196000222834,-0.0542217284225721,0,0,0,0,0,0,40,45,
IMMEDIATE,2025-06-16,87,-3.0660829934583185,-0.03524233325814159,0,0,0,0,0,0,41,44,
IMMEDIATE,2025-06-18,52,-3.164670484708192,-0.06085904778284985,0,0,0,0,0,0,15,15,
IMMEDIATE,2025-07-07,53,0.4678427779401014,0.008827222225284932,0,0,0,0,0,0,20,24,
IMMEDIATE,2025-07-24,92,-5.2378533234809765,-0.056933188298706264,0,0,0,0,0,0,48,48,
IMMEDIATE,2025-08-07,73,-4.1107481705607825,-0.05631161877480524,0,0,0,0,0,0,27,27,
IMMEDIATE,2025-09-09,56,-2.158650265376764,-0.03854732616744221,0,0,0,0,0,0,26,29,
IMMEDIATE,2025-12-11,93,-4.261735588963044,-0.04582511385981768,0,0,0,0,0,0,40,48,
IMMEDIATE,2025-12-15,40,-0.2479217332026262,-0.006198043330065655,0,0,0,0,0,0,9,9,
IMMEDIATE,2025-12-26,72,-4.526300461194296,-0.06286528418325411,0,0,0,0,0,0,23,24,
IMMEDIATE,2025-12-31,44,-2.2061755359894355,-0.05014035309066899,0,0,0,0,0,0,2,3,
IMMEDIATE,2026-02-13,73,-5.118685940842927,-0.070118985490999,0,0,0,0,0,0,35,41,
IMMEDIATE,2026-02-26,51,-3.1675666418977926,-0.062109149841133186,0,0,0,0,0,0,14,15,
IMMEDIATE,2026-03-03,112,-17.92309274361287,-0.16002761378225777,0,0,0,0,0,0,47,48,
IMMEDIATE,2026-03-09,65,-9.356154293756239,-0.14394083528855753,0,0,0,0,0,0,36,36,
IMMEDIATE,2026-04-15,54,-2.19780127261735,-0.040700023566987965,0,0,0,0,0,0,24,24,
IMMEDIATE,2026-04-16,76,-1.165979484649142,-0.015341835324330816,0,0,0,0,0,0,20,27,
IMMEDIATE,2026-05-07,71,-6.083236455603583,-0.08567938669864202,0,0,0,0,0,0,29,32,
IMMEDIATE,2026-05-13,45,-1.7842718273944531,-0.03965048505321007,0,0,0,0,0,0,15,17,
IMMEDIATE,2026-06-25,26,-2.0005736658134388,-0.07694514099282457,0,0,0,0,0,0,12,12,
SNIPER,2024-01-23,0,0.0,0.0,8,0,3,5,0,0,0,0,
SNIPER,2024-02-07,2,2.1239999999997963,1.0619999999998981,8,2,1,5,2,2,0,2,
SNIPER,2024-02-08,1,-0.5499999999999545,-0.5499999999999545,10,1,6,3,1,1,1,1,
SNIPER,2024-02-23,2,0.14100000000030377,0.07050000000015189,21,2,10,9,2,2,1,2,
SNIPER,2024-03-08,4,-2.2100000000000364,-0.5525000000000091,23,4,11,7,4,4,4,4,
SNIPER,2024-03-13,2,1.211399999999685,0.6056999999998425,20,2,8,10,2,2,0,2,
SNIPER,2024-04-11,9,0.6668000000022403,0.07408888888913781,21,9,4,8,9,9,6,9,
SNIPER,2024-05-06,5,-0.058999999999741815,-0.011799999999948362,21,5,6,10,5,5,3,5,
SNIPER,2024-05-08,1,-0.2699999999999818,-0.2699999999999818,10,1,7,2,1,1,1,1,
SNIPER,2024-05-14,8,-0.34139999999933934,-0.04267499999991742,26,8,15,3,8,8,6,8,
SNIPER,2024-05-17,8,2.619600000000446,0.32745000000005575,30,8,16,6,8,8,4,8,
SNIPER,2024-05-24,2,-0.5,-0.25,14,2,3,9,2,2,2,2,
SNIPER,2024-06-03,7,-1.3199999999992542,-0.18857142857132203,23,7,9,7,7,7,5,7,
SNIPER,2024-06-11,3,0.03200000000015274,0.01066666666671758,17,3,9,4,3,3,2,3,
SNIPER,2024-06-18,4,-0.5669999999995525,-0.14174999999988813,15,4,7,4,4,4,2,4,
SNIPER,2024-06-24,5,1.2155999999995402,0.24311999999990802,16,5,6,5,5,5,3,5,
SNIPER,2024-06-25,3,-1.2100000000004911,-0.403333333333497,21,3,12,5,3,3,3,3,
SNIPER,2024-06-26,4,-2.269999999999527,-0.5674999999998818,20,4,12,4,4,4,4,4,
SNIPER,2024-07-01,1,0.617399999999634,0.617399999999634,17,1,7,9,1,1,0,1,
SNIPER,2024-07-18,3,0.34160000000019874,0.11386666666673291,21,3,5,11,3,3,2,3,
SNIPER,2024-07-19,9,2.0056000000004133,0.22284444444449036,31,9,11,10,9,9,5,9,
SNIPER,2024-07-31,7,-1.0680000000006658,-0.15257142857152367,28,7,13,7,7,7,5,7,
SNIPER,2024-08-13,5,1.0624000000002525,0.2124800000000505,14,5,6,3,5,5,3,5,
SNIPER,2024-08-19,3,-0.24739999999974316,-0.08246666666658105,16,3,8,4,3,3,2,3,
SNIPER,2024-09-05,5,1.071599999999762,0.2143199999999524,23,5,12,6,5,5,3,5,
SNIPER,2024-09-12,10,-1.7141999999989823,-0.17141999999989824,32,10,9,12,10,10,7,10,
